,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
0,seasonally adjusted,
1,,
2,,
3,,Civilian labor force
4,,
5,,
6,Civilian,Employed              Unemployed
7,State and area            noninsti-,
8,tutional,Percent
9,population,Total        of                    Percent               Percent
10,,population     Total        of         Total      of
11,,population               labor
12,,force
13,,
14,,
15,,January 1976
16,,
17,,
18,"Alabama .....................     2,605,000","1,492,409      57.3     1,392,154      53.4      100,255      6.7"
19,"Alaska ......................       232,000","159,154      68.6       147,809      63.7       11,345      7.1"
20,"Arizona .....................     1,621,000","972,413      60.0       872,738      53.8       99,675     10.3"
21,"Arkansas ....................     1,536,000","882,835      57.5       817,756      53.2       65,079      7.4"
22,"California ..................    15,621,000","9,781,720      62.6     8,892,663      56.9      889,057      9.1"
23,"Los Angeles County .......     5,273,000","3,375,681      64.0     3,078,200      58.4      297,481      8.8"
24,"Colorado ....................     1,832,000","1,232,334      67.3     1,164,563      63.6       67,771      5.5"
25,"Connecticut .................     2,248,000","1,443,606      64.2     1,302,422      57.9      141,184      9.8"
26,"Delaware ....................       417,000","262,688      63.0       242,382      58.1       20,306      7.7"
27,"District of Columbia ........       520,000","339,378      65.3       308,820      59.4       30,558      9.0"
28,"Florida .....................     6,421,000","3,592,149      55.9     3,248,523      50.6      343,626      9.6"
29,"Georgia .....................     3,522,000","2,250,451      63.9     2,061,744      58.5      188,707      8.4"
30,"Hawaii ......................       583,000","408,869      70.1       367,414      63.0       41,455     10.1"
31,"Idaho .......................       580,000","366,173      63.1       346,216      59.7       19,957      5.5"
32,"Illinois ....................     8,127,000","5,133,491      63.2     4,788,469      58.9      345,022      6.7"
33,"Indiana .....................     3,789,000","2,418,961      63.8     2,260,951      59.7      158,010      6.5"
34,"Iowa ........................     2,066,000","1,324,627      64.1     1,269,103      61.4       55,524      4.2"
35,"Kansas ......................     1,635,000","1,061,055      64.9     1,015,585      62.1       45,470      4.3"
36,"Kentucky ....................     2,459,000","1,489,641      60.6     1,406,646      57.2       82,995      5.6"
37,"Louisiana ...................     2,672,000","1,513,827      56.7     1,417,816      53.1       96,011      6.3"
38,"Maine .......................       764,000","475,639      62.3       433,990      56.8       41,649      8.8"
39,"Maryland ....................     2,954,000","1,905,561      64.5     1,781,850      60.3      123,711      6.5"
40,"Massachusetts ...............     4,194,000","2,715,161      64.7     2,435,124      58.1      280,037     10.3"
41,"Michigan ....................     6,417,000","3,959,251      61.7     3,568,988      55.6      390,263      9.9"
42,"Minnesota ...................     2,788,000","1,832,797      65.7     1,722,777      61.8      110,020      6.0"
43,"Mississippi .................     1,640,000","961,115      58.6       896,774      54.7       64,341      6.7"
44,"Missouri ....................     3,464,000","2,088,814      60.3     1,963,951      56.7      124,863      6.0"
45,"Montana .....................       531,000","327,276      61.6       308,066      58.0       19,210      5.9"
46,"Nebraska ....................     1,095,000","715,752      65.4       692,137      63.2       23,615      3.3"
47,"Nevada ......................       451,000","322,417      71.5       293,574      65.1       28,843      8.9"
48,"New Hampshire ...............       593,000","391,585      66.0       364,963      61.5       26,622      6.8"
49,"New Jersey ..................     5,358,000","3,281,099      61.2     2,944,762      55.0      336,337     10.3"
50,"New Mexico ..................       792,000","475,004      60.0       432,875      54.7       42,129      8.9"
51,"New York ....................    13,196,000","7,687,165      58.3     6,896,554      52.3      790,611     10.3"
52,"New York city ............     5,694,000","3,114,007      54.7     2,768,623      48.6      345,384     11.1"
53,"North Carolina ..............     3,898,000","2,596,329      66.6     2,428,430      62.3      167,899      6.5"
54,"North Dakota ................       442,000","275,609      62.4       266,394      60.3        9,215      3.3"
55,"Ohio ........................     7,701,000","4,756,109      61.8     4,371,860      56.8      384,249      8.1"
56,"Oklahoma ....................     1,999,000","1,180,825      59.1     1,110,620      55.6       70,205      5.9"
57,"Oregon ......................     1,716,000","1,074,151      62.6       969,974      56.5      104,177      9.7"
