State/Area,Population,Labor Force,Labor Force %,Employed,Employment of Tot Pop %,Unemployed,Unemployment Rate,Date
Alabama,2605000,1492409,57.3,1392154,53.4,100255,6.7,1976-01-01
Alaska,232000,159154,68.6,147809,63.7,11345,7.1,1976-01-01
Arizona,1621000,972413,60.0,872738,53.8,99675,10.3,1976-01-01
Arkansas,1536000,882835,57.5,817756,53.2,65079,7.4,1976-01-01
California,15621000,9781720,62.6,8892663,56.9,889057,9.1,1976-01-01
Los Angeles County,5273000,3375681,64.0,3078200,58.4,297481,8.8,1976-01-01
Colorado,1832000,1232334,67.3,1164563,63.6,67771,5.5,1976-01-01
Connecticut,2248000,1443606,64.2,1302422,57.9,141184,9.8,1976-01-01
Delaware,417000,262688,63.0,242382,58.1,20306,7.7,1976-01-01
District of Columbia,520000,339378,65.3,308820,59.4,30558,9.0,1976-01-01
Florida,6421000,3592149,55.9,3248523,50.6,343626,9.6,1976-01-01
Georgia,3522000,2250451,63.9,2061744,58.5,188707,8.4,1976-01-01
Hawaii,583000,408869,70.1,367414,63.0,41455,10.1,1976-01-01
Idaho,580000,366173,63.1,346216,59.7,19957,5.5,1976-01-01
Illinois,8127000,5133491,63.2,4788469,58.9,345022,6.7,1976-01-01
Indiana,3789000,2418961,63.8,2260951,59.7,158010,6.5,1976-01-01
Iowa,2066000,1324627,64.1,1269103,61.4,55524,4.2,1976-01-01
Kansas,1635000,1061055,64.9,1015585,62.1,45470,4.3,1976-01-01
Kentucky,2459000,1489641,60.6,1406646,57.2,82995,5.6,1976-01-01
Louisiana,2672000,1513827,56.7,1417816,53.1,96011,6.3,1976-01-01
Maine,764000,475639,62.3,433990,56.8,41649,8.8,1976-01-01
Maryland,2954000,1905561,64.5,1781850,60.3,123711,6.5,1976-01-01
Massachusetts,4194000,2715161,64.7,2435124,58.1,280037,10.3,1976-01-01
Michigan,6417000,3959251,61.7,3568988,55.6,390263,9.9,1976-01-01
Minnesota,2788000,1832797,65.7,1722777,61.8,110020,6.0,1976-01-01
Mississippi,1640000,961115,58.6,896774,54.7,64341,6.7,1976-01-01
Missouri,3464000,2088814,60.3,1963951,56.7,124863,6.0,1976-01-01
Montana,531000,327276,61.6,308066,58.0,19210,5.9,1976-01-01
Nebraska,1095000,715752,65.4,692137,63.2,23615,3.3,1976-01-01
Nevada,451000,322417,71.5,293574,65.1,28843,8.9,1976-01-01
New Hampshire,593000,391585,66.0,364963,61.5,26622,6.8,1976-01-01
New Jersey,5358000,3281099,61.2,2944762,55.0,336337,10.3,1976-01-01
New Mexico,792000,475004,60.0,432875,54.7,42129,8.9,1976-01-01
New York,13196000,7687165,58.3,6896554,52.3,790611,10.3,1976-01-01
New York city,5694000,3114007,54.7,2768623,48.6,345384,11.1,1976-01-01
North Carolina,3898000,2596329,66.6,2428430,62.3,167899,6.5,1976-01-01
North Dakota,442000,275609,62.4,266394,60.3,9215,3.3,1976-01-01
Ohio,7701000,4756109,61.8,4371860,56.8,384249,8.1,1976-01-01
Oklahoma,1999000,1180825,59.1,1110620,55.6,70205,5.9,1976-01-01
Oregon,1716000,1074151,62.6,969974,56.5,104177,9.7,1976-01-01
Pennsylvania,8774000,5105548,58.2,4693332,53.5,412216,8.1,1976-01-01
Rhode Island,691000,434960,62.9,399599,57.8,35361,8.1,1976-01-01
South Carolina,1984000,1292816,65.2,1195062,60.2,97754,7.6,1976-01-01
South Dakota,477000,308735,64.7,298900,62.7,9835,3.2,1976-01-01
Tennessee,3078000,1819844,59.1,1710143,55.6,109701,6.0,1976-01-01
Texas,8818000,5627987,63.8,5298778,60.1,329209,5.8,1976-01-01
Utah,824000,519498,63.0,489265,59.4,30233,5.8,1976-01-01
Vermont,339000,213667,63.0,195099,57.6,18568,8.7,1976-01-01
Virginia,3534000,2328545,65.9,2190847,62.0,137698,5.9,1976-01-01
Washington,2598000,1584688,61.0,1446319,55.7,138369,8.7,1976-01-01
West Virginia,1352000,702600,52.0,647491,47.9,55109,7.8,1976-01-01
Wisconsin,3245000,2125315,65.5,2003102,61.7,122213,5.8,1976-01-01
Wyoming,270000,175876,65.1,168592,62.4,7284,4.1,1976-01-01
Alabama,2610000,1491820,57.2,1391975,53.3,99845,6.7,1976-02-01
Alaska,234000,158961,67.9,147666,63.1,11295,7.1,1976-02-01
Arizona,1626000,971753,59.8,871997,53.6,99756,10.3,1976-02-01
Arkansas,1538000,882316,57.4,817132,53.1,65184,7.4,1976-02-01
California,15657000,9775948,62.4,8888464,56.8,887484,9.1,1976-02-01
Los Angeles County,5283000,3374478,63.9,3077504,58.3,296974,8.8,1976-02-01
Colorado,1837000,1232109,67.1,1164631,63.4,67478,5.5,1976-02-01
Connecticut,2251000,1442758,64.1,1301572,57.8,141186,9.8,1976-02-01
Delaware,418000,262592,62.8,242420,58.0,20172,7.7,1976-02-01
District of Columbia,519000,339539,65.4,308976,59.5,30563,9.0,1976-02-01
Florida,6437000,3591389,55.8,3247280,50.4,344109,9.6,1976-02-01
Georgia,3528000,2249410,63.8,2060612,58.4,188798,8.4,1976-02-01
Hawaii,585000,408905,69.9,367268,62.8,41637,10.2,1976-02-01
Idaho,582000,365886,62.9,345965,59.4,19921,5.4,1976-02-01
Illinois,8136000,5132066,63.1,4787725,58.8,344341,6.7,1976-02-01
Indiana,3793000,2418034,63.7,2259666,59.6,158368,6.5,1976-02-01
Iowa,2069000,1324134,64.0,1268472,61.3,55662,4.2,1976-02-01
Kansas,1637000,1060584,64.8,1015127,62.0,45457,4.3,1976-02-01
Kentucky,2465000,1489199,60.4,1406247,57.0,82952,5.6,1976-02-01
Louisiana,2678000,1513026,56.5,1417468,52.9,95558,6.3,1976-02-01
Maine,766000,475595,62.1,433930,56.6,41665,8.8,1976-02-01
Maryland,2958000,1904839,64.4,1781465,60.2,123374,6.5,1976-02-01
Massachusetts,4198000,2714974,64.7,2434220,58.0,280754,10.3,1976-02-01
Michigan,6424000,3957748,61.6,3566516,55.5,391232,9.9,1976-02-01
Minnesota,2793000,1832001,65.6,1722014,61.7,109987,6.0,1976-02-01
Mississippi,1644000,960686,58.4,896491,54.5,64195,6.7,1976-02-01
Missouri,3469000,2087305,60.2,1962686,56.6,124619,6.0,1976-02-01
Montana,532000,327202,61.5,308039,57.9,19163,5.9,1976-02-01
Nebraska,1096000,715577,65.3,691996,63.1,23581,3.3,1976-02-01
Nevada,454000,322146,71.0,293280,64.6,28866,9.0,1976-02-01
New Hampshire,595000,391323,65.8,364669,61.3,26654,6.8,1976-02-01
New Jersey,5363000,3280097,61.2,2944167,54.9,335930,10.2,1976-02-01
New Mexico,795000,474831,59.7,432640,54.4,42191,8.9,1976-02-01
New York,13202000,7684752,58.2,6895390,52.2,789362,10.3,1976-02-01
New York city,5692000,3113272,54.7,2768463,48.6,344809,11.1,1976-02-01
North Carolina,3905000,2595355,66.5,2427272,62.2,168083,6.5,1976-02-01
North Dakota,443000,275468,62.2,266304,60.1,9164,3.3,1976-02-01
Ohio,7706000,4756607,61.7,4371539,56.7,385068,8.1,1976-02-01
Oklahoma,2003000,1180479,58.9,1110306,55.4,70173,5.9,1976-02-01
Oregon,1720000,1073446,62.4,969351,56.4,104095,9.7,1976-02-01
Pennsylvania,8780000,5104850,58.1,4691940,53.4,412910,8.1,1976-02-01
Rhode Island,692000,434907,62.8,399553,57.7,35354,8.1,1976-02-01
South Carolina,1988000,1292440,65.0,1194788,60.1,97652,7.6,1976-02-01
South Dakota,478000,308727,64.6,298906,62.5,9821,3.2,1976-02-01
Tennessee,3084000,1818088,59.0,1708651,55.4,109437,6.0,1976-02-01
Texas,8844000,5624823,63.6,5295497,59.9,329326,5.9,1976-02-01
Utah,826000,519124,62.8,488892,59.2,30232,5.8,1976-02-01
Vermont,340000,213554,62.8,194960,57.3,18594,8.7,1976-02-01
Virginia,3543000,2327900,65.7,2190461,61.8,137439,5.9,1976-02-01
Washington,2604000,1583350,60.8,1445338,55.5,138012,8.7,1976-02-01
West Virginia,1355000,702802,51.9,647556,47.8,55246,7.9,1976-02-01
Wisconsin,3248000,2124456,65.4,2002200,61.6,122256,5.8,1976-02-01
Wyoming,271000,175705,64.8,168416,62.1,7289,4.1,1976-02-01
Alabama,2615000,1490600,57.0,1392137,53.2,98463,6.6,1976-03-01
Alaska,236000,159067,67.4,147858,62.7,11209,7.0,1976-03-01
Arizona,1631000,971967,59.6,872637,53.5,99330,10.2,1976-03-01
Arkansas,1539000,881865,57.3,816687,53.1,65178,7.4,1976-03-01
California,15694000,9775283,62.3,8892402,56.7,882881,9.0,1976-03-01
Los Angeles County,5292000,3374522,63.8,3079158,58.2,295364,8.8,1976-03-01
Colorado,1841000,1231539,66.9,1164628,63.3,66911,5.4,1976-03-01
Connecticut,2253000,1442821,64.0,1301890,57.8,140931,9.8,1976-03-01
Delaware,418000,262596,62.8,242340,58.0,20256,7.7,1976-03-01
District of Columbia,519000,339517,65.4,309128,59.6,30389,9.0,1976-03-01
